FIELD_0	FIELD_1	FIELD_2	FIELD_3	FIELD_4	FIELD_5	FIELD_6	FIELD_7	FIELD_8	FIELD_9	FIELD_10	FIELD_11	FIELD_12	FIELD_13
false	86000	86000	86.23	86.23	'86000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:26.000'	false	86000	86000	86.23	86.23	'86000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:26.000'
false	87000	87000	87.23	87.23	'87000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:27.000'	false	87000	87000	87.23	87.23	'87000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:27.000'
false	88000	88000	88.23	88.23	'88000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:28.000'	false	88000	88000	88.23	88.23	'88000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:28.000'
false	89000	89000	89.23	89.23	'89000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:29.000'	false	89000	89000	89.23	89.23	'89000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:29.000'
false	90000	90000	90.23	90.23	'90000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:30.000'	false	90000	90000	90.23	90.23	'90000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:30.000'
false	91000	91000	91.23	91.23	'91000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:31.000'	false	91000	91000	91.23	91.23	'91000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:31.000'
false	92000	92000	92.23	92.23	'92000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:32.000'	false	92000	92000	92.23	92.23	'92000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:32.000'
false	93000	93000	93.23	93.23	'93000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:33.000'	false	93000	93000	93.23	93.23	'93000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:33.000'
false	94000	94000	94.23	94.23	'94000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:34.000'	false	94000	94000	94.23	94.23	'94000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:34.000'
false	95000	95000	95.23	95.23	'95000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:35.000'	false	95000	95000	95.23	95.23	'95000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:35.000'
false	96000	96000	96.23	96.23	'96000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:36.000'	false	96000	96000	96.23	96.23	'96000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:36.000'
false	97000	97000	97.23	97.23	'97000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:37.000'	false	97000	97000	97.23	97.23	'97000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:37.000'
false	98000	98000	98.23	98.23	'98000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:38.000'	false	98000	98000	98.23	98.23	'98000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:38.000'
false	99000	99000	99.23	99.23	'99000xxxxxxxxxxxxxxxxxxxxxxxxx32'	'2020-01-01 00:01:39.000'	false	99000	99000	99.23	99.23	'99000xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx64'	'2020-01-01 00:01:39.000'
